trait_1,,,trait_2,,,trait_3,,,trait_4,,,trait_5,,,trait_6,,,trait_7,,
name,chance,order,name,chance,order,name,chance,order,name,chance,order,name,chance,order,name,chance,order,name,chance,order
trait_1_attr_1,0.2641,1,trait_2_attr_1,0.1737,2,trait_3_attr_1,0.1058,3,trait_4_attr_1,0.7586,4,trait_5_attr_1,0.3977,5,trait_6_attr_1,0.9828,6,trait_7_attr_1,0.5768,7
trait_1_attr_2,0.1753,1,trait_2_attr_2,0.1703,2,trait_3_attr_2,0.1032,3,trait_4_attr_2,0.0914,4,trait_5_attr_2,0.0895,5,trait_6_attr_2,0.0079,6,trait_7_attr_2,0.0697,7
trait_1_attr_3,0.1030,1,trait_2_attr_3,0.1665,2,trait_3_attr_3,0.1026,3,trait_4_attr_3,0.0653,4,trait_5_attr_3,0.0871,5,trait_6_attr_3,0.0057,6,trait_7_attr_3,0.0642,7
trait_1_attr_4,0.0976,1,trait_2_attr_4,0.1618,2,trait_3_attr_4,0.1019,3,trait_4_attr_4,0.0500,4,trait_5_attr_4,0.0858,5,trait_6_attr_4,0.0036,6,trait_7_attr_4,0.0526,7
trait_1_attr_5,0.0828,1,trait_2_attr_5,0.1574,2,trait_3_attr_5,0.1001,3,trait_4_attr_5,0.0347,4,trait_5_attr_5,0.0835,5,,,,trait_7_attr_5,0.0519,7
trait_1_attr_6,0.0765,1,trait_2_attr_6,0.0541,2,trait_3_attr_6,0.0997,3,,,,trait_5_attr_6,0.0497,5,,,,trait_7_attr_6,0.0430,7
trait_1_attr_7,0.0639,1,trait_2_attr_7,0.0462,2,trait_3_attr_7,0.0980,3,,,,trait_5_attr_7,0.0474,5,,,,trait_7_attr_7,0.0409,7
trait_1_attr_8,0.0587,1,trait_2_attr_8,0.0345,2,trait_3_attr_8,0.0972,3,,,,trait_5_attr_8,0.0450,5,,,,trait_7_attr_8,0.0254,7
trait_1_attr_9,0.0421,1,trait_2_attr_9,0.0229,2,trait_3_attr_9,0.0961,3,,,,trait_5_attr_9,0.0415,5,,,,trait_7_attr_9,0.0215,7
trait_1_attr_10,0.0360,1,trait_2_attr_10,0.0126,2,trait_3_attr_10,0.0954,3,,,,trait_5_attr_10,0.0275,5,,,,trait_7_attr_10,0.0178,7
,,,,,,,,,,,,trait_5_attr_11,0.0237,5,,,,trait_7_attr_11,0.0123,7
,,,,,,,,,,,,trait_5_attr_12,0.0216,5,,,,trait_7_attr_12,0.0102,7
,,,,,,,,,,,,,,,,,,trait_7_attr_13,0.0069,7
,,,,,,,,,,,,,,,,,,trait_7_attr_14,0.0041,7
,,,,,,,,,,,,,,,,,,trait_7_attr_15,0.0027,7